"term","justice","justiceName","post_mn","post_sd","post_med","post_025","post_975"
1965,97,"AFortas",-1.402,0.275,-1.393,-1.97,-0.89
1966,97,"AFortas",-1.564,0.234,-1.555,-2.04,-1.121
1967,97,"AFortas",-1.479,0.245,-1.471,-1.987,-1.026
1968,97,"AFortas",-1.294,0.313,-1.28,-1.945,-0.714
1962,96,"AJGoldberg",-1.095,0.226,-1.086,-1.563,-0.674
1963,96,"AJGoldberg",-1.204,0.213,-1.196,-1.641,-0.809
1964,96,"AJGoldberg",-0.855,0.261,-0.845,-1.404,-0.373
1987,106,"AMKennedy",1.191,0.284,1.182,0.669,1.781
1988,106,"AMKennedy",1.462,0.229,1.459,1.035,1.93
1989,106,"AMKennedy",1.356,0.219,1.352,0.945,1.798
1990,106,"AMKennedy",1.22,0.218,1.216,0.807,1.658
1991,106,"AMKennedy",0.886,0.205,0.884,0.498,1.295
1992,106,"AMKennedy",1.046,0.218,1.04,0.632,1.485
1993,106,"AMKennedy",0.883,0.219,0.879,0.46,1.325
1994,106,"AMKennedy",0.845,0.214,0.841,0.447,1.271
1995,106,"AMKennedy",0.715,0.212,0.709,0.307,1.15
1996,106,"AMKennedy",0.851,0.214,0.848,0.444,1.283
1997,106,"AMKennedy",0.811,0.227,0.803,0.391,1.276
1998,106,"AMKennedy",0.919,0.227,0.914,0.483,1.372
1999,106,"AMKennedy",1.068,0.226,1.064,0.649,1.519
2000,106,"AMKennedy",0.953,0.223,0.946,0.538,1.404
2001,106,"AMKennedy",1.037,0.232,1.033,0.603,1.513
2002,106,"AMKennedy",0.884,0.238,0.88,0.434,1.362
2003,106,"AMKennedy",0.746,0.224,0.742,0.321,1.2
2004,106,"AMKennedy",0.542,0.22,0.542,0.107,0.975
2005,106,"AMKennedy",0.494,0.224,0.491,0.054,0.934
2006,106,"AMKennedy",0.446,0.205,0.444,0.046,0.865
2007,106,"AMKennedy",0.402,0.222,0.401,-0.032,0.842
2008,106,"AMKennedy",0.554,0.204,0.553,0.166,0.964
2009,106,"AMKennedy",0.52,0.216,0.517,0.105,0.95
2010,106,"AMKennedy",0.582,0.213,0.578,0.176,1.01
2011,106,"AMKennedy",0.3,0.213,0.3,-0.108,0.726
2012,106,"AMKennedy",0.251,0.206,0.248,-0.151,0.655
2013,106,"AMKennedy",0.078,0.231,0.079,-0.372,0.532
2014,106,"AMKennedy",-0.215,0.215,-0.211,-0.644,0.205
2015,106,"AMKennedy",-0.259,0.234,-0.259,-0.724,0.198
2016,106,"AMKennedy",-0.028,0.236,-0.027,-0.495,0.439
2017,106,"AMKennedy",0.426,0.244,0.422,-0.047,0.919
1986,105,"AScalia",1.423,0.245,1.413,0.964,1.935
